priority,product_id,product_name,category,subcategory,image_ref,issue_type,recommended_action,source_url,source_page,license
P1,PROD-0060,Oil-only granular absorbent,MRO Chemicals & Lubricants,Absorbents,assets/product_images/real/prod-0060-curated-prod-0051-curated-prod-0055-rtv-silicone-gasket-maker.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0061,Cobalt drill bit index,Cutting Tools,Drill Bits,assets/product_images/real/prod-0061-cobalt-drill-bit-index.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0062,HSS annular cutter 7/8 in,Cutting Tools,Annular Cutters,assets/product_images/real/prod-0062-curated-prod-0063-spiral-point-tap-3-8-16.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0063,Spiral point tap 3/8-16,Cutting Tools,Taps,assets/product_images/real/prod-0063-spiral-point-tap-3-8-16.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0064,Hex rethreading die set,Cutting Tools,Dies,assets/product_images/real/prod-0064-curated-prod-0062-curated-prod-0063-spiral-point-tap-3-8-16.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0065,Bi-metal band saw blade,Cutting Tools,Saw Blades,assets/product_images/real/prod-0065-bi-metal-band-saw-blade.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0066,Carbide-tipped hole saw 2 in,Cutting Tools,Hole Saws,assets/product_images/real/prod-0066-carbide-tipped-hole-saw-2-in.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0067,Carbide end mill 1/2 in 4 flute,Cutting Tools,End Mills,assets/product_images/real/prod-0067-curated-prod-0062-curated-prod-0063-spiral-point-tap-3-8-16.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0068,82-degree countersink set,Cutting Tools,Countersinks,assets/product_images/real/prod-0068-82-degree-countersink-set.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0069,Chuck reamer 1/4 in,Cutting Tools,Reamers,assets/product_images/real/prod-0069-chuck-reamer-1-4-in.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0070,Heavy-duty utility blade dispenser,Cutting Tools,Utility Blades,assets/product_images/real/prod-0070-curated-prod-0062-curated-prod-0063-spiral-point-tap-3-8-16.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0071,Nylon web sling 2 in x 6 ft,Material Handling,Lifting Slings,assets/product_images/real/prod-0071-nylon-web-sling-2-in-x-6-ft.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0072,Grade 70 transport chain,Material Handling,Chain,assets/product_images/real/prod-0072-grade-70-transport-chain.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0073,Clevis grab hook 3/8 in,Material Handling,Hooks,assets/product_images/real/prod-0073-clevis-grab-hook-3-8-in.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0074,Swivel caster with brake,Material Handling,Casters,assets/product_images/real/prod-0074-swivel-caster-with-brake.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0075,Pallet jack replacement wheel kit,Material Handling,Pallet Equipment,assets/product_images/real/prod-0075-pallet-jack-replacement-wheel-kit.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0076,Steel service cart shelf liner,Material Handling,Carts,assets/product_images/real/prod-0076-steel-service-cart-shelf-liner.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0077,Lever hoist load chain bag,Material Handling,Hoist Accessories,assets/product_images/real/prod-0077-lever-hoist-load-chain-bag.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0078,Dock bumper laminated rubber,Material Handling,Dock Supplies,assets/product_images/real/prod-0078-curated-prod-0074-swivel-caster-with-brake.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0079,Ratchet strap 2 in x 27 ft,Material Handling,Straps,assets/product_images/real/prod-0079-curated-prod-0074-swivel-caster-with-brake.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0080,Stackable parts bin blue,Material Handling,Storage,assets/product_images/real/prod-0080-curated-prod-0074-swivel-caster-with-brake.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0081,Black malleable iron elbow 90 deg,"Pipe, Valves & Fittings",Pipe Fittings,assets/product_images/real/prod-0081-black-malleable-iron-elbow-90-deg.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0082,Brass full-port ball valve,"Pipe, Valves & Fittings",Ball Valves,assets/product_images/real/prod-0082-brass-full-port-ball-valve.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0083,Industrial quick coupler 1/4 in,"Pipe, Valves & Fittings",Hose Fittings,assets/product_images/real/prod-0083-industrial-quick-coupler-1-4-in.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0084,Schedule 40 pipe nipple,"Pipe, Valves & Fittings",Pipe Nipples,assets/product_images/real/prod-0084-schedule-40-pipe-nipple.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0085,Galvanized pipe union,"Pipe, Valves & Fittings",Unions,assets/product_images/real/prod-0085-curated-prod-0089-worm-gear-hose-clamp-assortment.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0086,Y-strainer stainless screen,"Pipe, Valves & Fittings",Strainers,assets/product_images/real/prod-0086-curated-prod-0085-curated-prod-0089-worm-gear-hose-clamp-assortment.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0087,Liquid-filled pressure gauge,"Pipe, Valves & Fittings",Pressure Gauges,assets/product_images/real/prod-0087-liquid-filled-pressure-gauge.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0088,EPDM flange gasket 2 in,"Pipe, Valves & Fittings",Gaskets,assets/product_images/real/prod-0088-curated-prod-0085-curated-prod-0089-worm-gear-hose-clamp-assortment.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0089,Worm gear hose clamp assortment,"Pipe, Valves & Fittings",Clamps,assets/product_images/real/prod-0089-worm-gear-hose-clamp-assortment.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0090,PTFE thread seal tape,"Pipe, Valves & Fittings",Thread Sealants,assets/product_images/real/prod-0090-ptfe-thread-seal-tape.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0091,Hydraulic hose assembly 1/2 in,Hydraulics & Pneumatics,Hydraulic Hose,assets/product_images/real/prod-0091-hydraulic-hose-assembly-1-2-in.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0092,JIC adapter assortment,Hydraulics & Pneumatics,Hydraulic Fittings,assets/product_images/real/prod-0092-jic-adapter-assortment.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0093,Polyurethane air tubing blue,Hydraulics & Pneumatics,Pneumatic Tubing,assets/product_images/real/prod-0093-polyurethane-air-tubing-blue.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0094,Push-to-connect fitting kit,Hydraulics & Pneumatics,Push-to-Connect,assets/product_images/real/prod-0094-curated-prod-0091-hydraulic-hose-assembly-1-2-in.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0095,Filter regulator combo,Hydraulics & Pneumatics,Regulators,assets/product_images/real/prod-0095-filter-regulator-combo.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0096,Compact pneumatic cylinder,Hydraulics & Pneumatics,Cylinders,assets/product_images/real/prod-0096-compact-pneumatic-cylinder.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0097,Solenoid valve 5/2 way,Hydraulics & Pneumatics,Valves,assets/product_images/real/prod-0097-solenoid-valve-5-2-way.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0098,Safety air coupler,Hydraulics & Pneumatics,Couplers,assets/product_images/real/prod-0098-curated-prod-0091-hydraulic-hose-assembly-1-2-in.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0099,AW-46 hydraulic oil pail,Hydraulics & Pneumatics,Hydraulic Oil,assets/product_images/real/prod-0099-aw-46-hydraulic-oil-pail.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0100,O-ring service assortment,Hydraulics & Pneumatics,Seals,assets/product_images/real/prod-0100-o-ring-service-assortment.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0101,Low-lint shop towel roll,Shop Supplies & Janitorial,Wipers,assets/product_images/real/prod-0101-low-lint-shop-towel-roll.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0102,Contractor trash bag case,Shop Supplies & Janitorial,Trash Bags,assets/product_images/real/prod-0102-curated-prod-0103-heavy-duty-push-broom.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0103,Heavy-duty push broom,Shop Supplies & Janitorial,Brooms,assets/product_images/real/prod-0103-heavy-duty-push-broom.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0104,Industrial wet mop kit,Shop Supplies & Janitorial,Mops,assets/product_images/real/prod-0104-industrial-wet-mop-kit.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0105,Pumice hand cleaner jug,Shop Supplies & Janitorial,Hand Cleaner,assets/product_images/real/prod-0105-curated-prod-0102-curated-prod-0103-heavy-duty-push-broom.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0106,Jumbo roll bath tissue case,Shop Supplies & Janitorial,Paper Products,assets/product_images/real/prod-0106-jumbo-roll-bath-tissue-case.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0107,Concrete floor degreaser powder,Shop Supplies & Janitorial,Floor Care,assets/product_images/real/prod-0107-concrete-floor-degreaser-powder.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0108,Razor scraper with blades,Shop Supplies & Janitorial,Scrapers,assets/product_images/real/prod-0108-razor-scraper-with-blades.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0109,Graduated utility bucket,Shop Supplies & Janitorial,Buckets,assets/product_images/real/prod-0109-curated-prod-0102-curated-prod-0103-heavy-duty-push-broom.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0110,Wall-mount towel dispenser,Shop Supplies & Janitorial,Dispensers,assets/product_images/real/prod-0110-wall-mount-towel-dispenser.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0111,Magnetic tape measure 25 ft,Measuring & Layout,Tape Measures,assets/product_images/real/prod-0111-magnetic-tape-measure-25-ft.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0112,Digital caliper 0-6 in,Measuring & Layout,Calipers,assets/product_images/real/prod-0112-digital-caliper-0-6-in.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0113,Combination square set,Measuring & Layout,Squares,assets/product_images/real/prod-0113-combination-square-set.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0114,Torpedo level with magnets,Measuring & Layout,Levels,assets/product_images/real/prod-0114-torpedo-level-with-magnets.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0115,Paint marker white pack,Measuring & Layout,Marking,assets/product_images/real/prod-0115-paint-marker-white-pack.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0116,Heavy-duty chalk reel kit,Measuring & Layout,Chalk Lines,assets/product_images/real/prod-0116-heavy-duty-chalk-reel-kit.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0117,Feeler gauge set,Measuring & Layout,Gauges,assets/product_images/real/prod-0117-feeler-gauge-set.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0118,Cross-line laser level,Measuring & Layout,Laser Tools,assets/product_images/real/prod-0118-cross-line-laser-level.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0119,Stainless steel rule 24 in,Measuring & Layout,Rules,assets/product_images/real/prod-0119-stainless-steel-rule-24-in.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0120,Brass plumb bob kit,Measuring & Layout,Plumb Tools,assets/product_images/real/prod-0120-curated-prod-0111-magnetic-tape-measure-25-ft.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0121,Angle grinder guard 4-1/2 in,Power Tool Accessories,Grinding Accessories,assets/product_images/real/prod-0121-angle-grinder-guard-4-1-2-in.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0122,Impact driver bit set,Power Tool Accessories,Driver Bits,assets/product_images/real/prod-0122-impact-driver-bit-set.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0123,18V lithium tool battery,Power Tool Accessories,Batteries,assets/product_images/real/prod-0123-curated-prod-0124-dual-port-rapid-charger.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0124,Dual-port rapid charger,Power Tool Accessories,Chargers,assets/product_images/real/prod-0124-dual-port-rapid-charger.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0125,Circular saw blade metal cutting,Power Tool Accessories,Saw Accessories,assets/product_images/real/prod-0125-circular-saw-blade-metal-cutting.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0126,Mag drill pilot pin set,Power Tool Accessories,Drill Accessories,assets/product_images/real/prod-0126-curated-prod-0123-curated-prod-0124-dual-port-rapid-charger.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0127,Random orbit sanding disc pack,Power Tool Accessories,Sanding Accessories,assets/product_images/real/prod-0127-curated-prod-0123-curated-prod-0124-dual-port-rapid-charger.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0128,Cordless tool lanyard,Power Tool Accessories,Tool Storage,assets/product_images/real/prod-0128-cordless-tool-lanyard.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0129,Socket adapter impact set,Power Tool Accessories,Adapters,assets/product_images/real/prod-0129-curated-prod-0123-curated-prod-0124-dual-port-rapid-charger.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
P2,PROD-0130,Drill dust shroud attachment,Power Tool Accessories,Dust Collection,assets/product_images/real/prod-0130-drill-dust-shroud-attachment.jpg,missing_direct_source_url,Backfill source URL/license metadata or replace with a fully attributed image.,,,Openverse commercial-compatible result; verify source before external production use
P1,PROD-0131,Continuous piano hinge stainless,Industrial Hardware,Hinges,assets/product_images/real/prod-0131-curated-prod-0139-toggle-clamp-horizontal-hold-down.jpg,similar_photo_match;missing_direct_source_url,Replace with an exact or closer product-type photo before external demo.,,,Openverse commercial-compatible result; verify source before external production use
