product_id,SKU / Pioneer part number,manufacturer,manufacturer_part_number,product_name,category,subcategory,description,specs,unit_of_measure,quantity_in_stock,reorder_point,price,customer_specific_price,image_ref,lead_time,warehouse_location,is_icc_supply,tags,safety_stock_status
RPL-0020,FAS-SHC-1/4-20x1,Fastenal,FAS-SHC-1/4-20x1,Socket Head Cap Screw 1/4-20 x 1in Box/100,Fasteners,Screws,"Alloy steel socket head cap screw, 1/4-20 UNC x 1 length, black oxide. ANSI B18.3 standard.",Spec details available on request.,Box/100,215,54,19.00,19.00,https://www.harfington.com/cdn/shop/files/ux_a25032500ux3856_ux_d02_400x.jpg?v=1778292209,1-3 business days,R2-10,FALSE,replit-import;replit-id-20;show-price-true;remote-image-source;fasteners,OK
RPL-0031,MRO-CLOTH-12,Pioneer Industrial,MRO-CLOTH-12,Industrial Shop Cloths 12x12 Box/200,MRO Supplies,MRO Supplies,"White cotton shop cloths for cleaning and wiping. 12 x 12, 200 count box. Lint-free, reusable, and machine washable.",Spec details available on request.,Box/200,67,17,28.00,28.00,https://m.media-amazon.com/images/I/61BaKOuSBiL.jpg,1-3 business days,R3-01,FALSE,replit-import;replit-id-31;show-price-true;remote-image-source;mro-supplies,OK
RPL-0032,MRO-TAPE-2X60,Pioneer Industrial,MRO-TAPE-2X60,Industrial Masking Tape 2in x 60yd,MRO Supplies,MRO Supplies,"General purpose masking tape, 2 x 60 yards. Medium adhesion, clean removal. For masking during painting, holding, and bundling.",Spec details available on request.,Roll,234,58,4.75,4.75,https://cdn11.bigcommerce.com/s-lzab3xj0a7/images/stencil/500x659/products/2158/13684/Garant-Tap-wrench-adjustable-strengthened_6954__12574.1771341822.jpg?c=1,1-3 business days,R3-02,FALSE,replit-import;replit-id-32;show-price-true;remote-image-source;mro-supplies,OK
RPL-0033,RDG-31610,Ridgid,RDG-31610,Ridgid 10in Heavy Duty Adjustable Wrench,MRO Supplies,MRO Supplies,"Heavy-duty adjustable wrench with I-beam handle. 10 length, 1-5/8 jaw capacity. Drop-forged steel for maximum strength.",Spec details available on request.,Each,5,1,42.00,42.00,https://images-na.ssl-images-amazon.com/images/I/81pJ6wJXHGL.jpg,1-3 business days,R3-03,FALSE,replit-import;replit-id-33;show-price-true;remote-image-source;mro-supplies,OK
RPL-0042,DODGE-SH-2-58,Dodge,DODGE-SH-2-58,Dodge Sure-H Sheave 2-Groove 5/8 Bore,Power Transmission,Belts,"2-groove sheave for B/C section belts. 5/8 bore, 6 pitch diameter. Cast iron construction.",Spec details available on request.,Each,42,10,54.00,54.00,https://m.media-amazon.com/images/I/71-Rd-kL1-L.jpg,3-5 business days,R3-04,FALSE,replit-import;replit-id-42;show-price-true;remote-image-source;power-transmission,OK
RPL-0052,FAS-HHB-12-13x2,Fastenal,FAS-HHB-12-13x2,Grade 5 Hex Head Bolt 1/2-13 x 2in Box/100,Fasteners,Bolts,"Grade 5 hex head cap screw, 1/2-13 UNC x 2 length, zinc plated. Meets SAE J429 Grade 5.",Spec details available on request.,Box/100,48,12,24.50,24.50,https://www.harfington.com/cdn/shop/files/ux_a25032500ux3856_ux_d03_400x.jpg?v=1778292211,1-3 business days,R3-05,FALSE,replit-import;replit-id-52;show-price-true;remote-image-source;fasteners,OK
RPL-0053,FAS-HHN-12-13,Fastenal,FAS-HHN-12-13,Grade 5 Hex Nut 1/2-13 UNC Box/100,Fasteners,Nuts,"Grade 5 finished hex nut, 1/2-13 UNC, zinc plated. Meets SAE J995 Grade 5 specification.",Spec details available on request.,Box/100,73,18,9.75,9.75,https://m.media-amazon.com/images/I/71FrpmA21LL.jpg,1-3 business days,R3-06,FALSE,replit-import;replit-id-53;show-price-true;remote-image-source;fasteners,OK
RPL-0054,FAS-FW-12-HVY,Fastenal,FAS-FW-12-HVY,F436 Heavy Hex Flat Washer 1/2in Box/100,Fasteners,Bolts,"F436 heavy hex structural flat washer for 1/2 bolts. Hardened steel, zinc plated.",Spec details available on request.,Box/100,156,39,11.25,11.25,https://www.harfington.com/cdn/shop/files/ux_a25032500ux3856_ux_d02_400x.jpg?v=1778292209,1-3 business days,R3-07,FALSE,replit-import;replit-id-54;show-price-true;remote-image-source;fasteners,OK
RPL-0055,FAS-SHC-14-20x1,Fastenal,FAS-SHC-14-20x1,Socket Head Cap Screw 1/4-20 x 1in Box/100,Fasteners,Screws,"Alloy steel socket head cap screw, 1/4-20 UNC x 1 length, black oxide. ANSI B18.3 standard.",Spec details available on request.,Box/100,215,54,19.00,19.00,https://www.harfington.com/cdn/shop/files/ux_a25032500ux3856_ux_d03_400x.jpg?v=1778292211,1-3 business days,R3-08,FALSE,replit-import;replit-id-55;show-price-true;remote-image-source;fasteners,OK
RPL-0021,EAT-E50SA1,Eaton,EAT-E50SA1,Eaton E50SA1 Limit Switch,Electrical,Electrical Components,"Standard enclosed limit switch, top push roller plunger actuator, SPDT contacts. NEMA 4, 4X, 12, 13 rated. 600V AC/250V DC.",Spec details available on request.,Each,34,8,89.50,89.50,https://m.media-amazon.com/images/I/411NdeyrU7L.jpg,1-3 business days,R3-09,FALSE,replit-import;replit-id-21;show-price-true;remote-image-source;electrical,OK
RPL-0022,EAT-XTCE032B10,Eaton,EAT-XTCE032B10,Eaton IEC Contactor 32A 3-Pole 24VAC,Electrical,Electrical Components,"IEC contactor, 32A, 3-pole, 24VAC coil, 1 N.O. auxiliary contact. For motor control and switching applications up to 15HP at 460V.",Spec details available on request.,Each,19,5,142.00,142.00,https://m.media-amazon.com/images/I/414+OudmdEL.jpg,Quote required,R3-10,FALSE,replit-import;replit-id-22;show-price-false;remote-image-source;electrical,OK
RPL-0023,BOSH-CableTie-100,Bosch,BOSH-CableTie-100,Bosch Cable Tie 12in 50lb Black 100-Pack,Electrical,Wire,"Nylon cable ties, 12 length, 50 lb tensile strength, UV-resistant black. Pack of 100. For wire management and bundling.",Spec details available on request.,Pack/100,342,86,6.95,6.95,https://m.media-amazon.com/images/I/411NdeyrU7L.jpg,1-3 business days,R4-01,FALSE,replit-import;replit-id-23;show-price-true;remote-image-source;electrical,OK
RPL-0024,HON-1010931,Honeywell,HON-1010931,Honeywell North 5500 Half Mask Respirator,Safety Supplies,Respiratory Protection,"Low-profile half-face respirator, medium size. Accepts North P100, organic vapor, and combination cartridges. NIOSH approved.",Spec details available on request.,Each,87,22,28.00,28.00,https://m.media-amazon.com/images/I/61-LABEk6gS.jpg,1-3 business days,R4-02,FALSE,replit-import;replit-id-24;show-price-true;remote-image-source;safety-supplies,OK
RPL-0025,3M-7502,3M,3M-7502,3M Half Facepiece Reusable Respirator 7502,Safety Supplies,Respiratory Protection,"Half facepiece respirator, medium size. Bayonet-style cartridge connection. Soft, silicone facepiece for extended wear comfort. NIOSH approved.",Spec details available on request.,Each,112,28,24.00,24.00,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/a2123363-982f-4c9a-b202-9dadef274e3a.__CR0,0,971,601_PT0_SX970_V1___.png",1-3 business days,R4-03,FALSE,replit-import;replit-id-25;show-price-true;remote-image-source;safety-supplies,OK
RPL-0026,HON-GH-15KO,Honeywell,HON-GH-15KO,Honeywell Uvex Anti-Fog Safety Glasses,Safety Supplies,Eye Protection,"Uvex S3200 Genesis XC safety glasses. Scratch and fog resistant, clear lens, black frame. ANSI Z87.1 rated.",Spec details available on request.,Each,265,66,7.50,7.50,https://m.media-amazon.com/images/I/61-LABEk6gS.jpg,1-3 business days,R4-04,FALSE,replit-import;replit-id-26;show-price-true;remote-image-source;safety-supplies,OK
RPL-0027,HON-SSB10G-L,Honeywell,HON-SSB10G-L,Honeywell North Chemical Resistant Gloves Large,Safety Supplies,Hand Protection,"Chemical resistant neoprene gloves, 14 length, Large size. Excellent resistance to oils, acids, and solvents. 30 mil thickness.",Spec details available on request.,Pair,178,44,12.50,12.50,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/a2123363-982f-4c9a-b202-9dadef274e3a.__CR0,0,971,601_PT0_SX970_V1___.png",1-3 business days,R4-05,FALSE,replit-import;replit-id-27;show-price-true;remote-image-source;safety-supplies,OK
RPL-0028,MOB-MBL-1,Mobil,MOB-MBL-1,Mobil 1 Synthetic Motor Oil 5W-30 1qt,Lubricants,Oil,Full synthetic motor oil for extended drain intervals. Exceptional protection at temperature extremes. Meets GM dexos1 Gen 2 and API SP specifications.,Spec details available on request.,Quart,423,106,8.95,8.95,https://m.media-amazon.com/images/I/71ZskdcQYvL.jpg,1-3 business days,R4-06,FALSE,replit-import;replit-id-28;show-price-true;remote-image-source;lubricants,OK
RPL-0029,MOB-MGS-HP-1,Mobil,MOB-MGS-HP-1,Mobilgrease HP Synthetic Grease 14oz,Lubricants,Grease,"Synthetic lithium complex grease, NLGI Grade 2. For high-speed, high-temperature bearing applications. -40F to 350F service range.",Spec details available on request.,Cartridge,156,39,14.25,14.25,https://m.media-amazon.com/images/I/51qqDQ3NMXL.jpg,1-3 business days,R4-07,FALSE,replit-import;replit-id-29;show-price-true;remote-image-source;lubricants,OK
RPL-0030,MOB-DTE-25,Mobil,MOB-DTE-25,Mobil DTE 25 Hydraulic Oil 1 Gallon ISO VG 46,Lubricants,Oil,Premium performance hydraulic oil ISO VG 46. Provides excellent wear protection and system cleanliness for hydraulic equipment.,Spec details available on request.,Gallon,89,22,22.50,22.50,https://m.media-amazon.com/images/I/71ZskdcQYvL.jpg,1-3 business days,R4-08,FALSE,replit-import;replit-id-30;show-price-true;remote-image-source;lubricants,OK
RPL-0034,MAT-HC-2-40,Pioneer Industrial,MAT-HC-2-40,Steel Drum Dolly 400 lb Capacity,Material Handling,Material Handling,"Heavy-duty steel drum dolly for 55-gallon drums. 400 lb capacity, 4 swivel casters with polyurethane wheels. 24 diameter platform.",Spec details available on request.,Each,23,6,89.00,89.00,https://m.media-amazon.com/images/I/61FKw7pxh7L.jpg,1-3 business days,R4-09,FALSE,replit-import;replit-id-34;show-price-true;remote-image-source;material-handling,OK
RPL-0035,MAT-FC-2000,Pioneer Industrial,MAT-FC-2000,Industrial Folding Hand Truck 800 lb,Material Handling,Material Handling,"Foldable steel hand truck with 800 lb capacity. 10 pneumatic wheels, stair climbers included. Converts between upright and platform configurations.",Spec details available on request.,Each,8,2,175.00,175.00,https://m.media-amazon.com/images/I/413MLLznjZL.jpg,Quote required,R4-10,FALSE,replit-import;replit-id-35;show-price-false;remote-image-source;material-handling,OK
RPL-0072,DOLAC43G,Von Roll,DOLAC43G,"AC-43 Air-Drying Varnish, 1 Gallon, Clear",Electrical Insulation,Electrical Insulation,"Von Roll/John C Dolph Synthite AC-43 is an air-drying alkyd-based varnish for insulating electrical motor windings. Available in a 1-gallon container for dip, flow, or brush application. Excellent adhesion to magnet wire and winding materials.","{'Size': '1 Gallon', 'Type': 'Alkyd Air-Drying Varnish', 'Color': 'Clear', 'Application': 'Dip / Flow / Brush', 'Thermal Class': 'B (130 C)'}",Gallon,25,6,85.20,85.20,https://www.electro-wind.com/web-files/Web-pics/Dolphs/drum-white.jpg,3-5 business days,R5-01,FALSE,replit-import;replit-id-72;show-price-true;remote-image-source;electrical-insulation,OK
RPL-0074,DOLER41,Von Roll,DOLER41,"Dolph-Spray ER-41 Air-Drying Varnish, 20 oz, Red",Electrical Insulation,Electrical Insulation,Von Roll/John C Dolph Synthite Dolph-Spray ER-41 is a solvent-based air-drying varnish in a 20 oz aerosol can. The distinctive red color makes it easy to identify coated areas during winding. Excellent for motor and transformer insulation.,"{'Size': '20 oz', 'Type': 'Air-Drying Varnish', 'Color': 'Red', 'Application': 'Aerosol Spray', 'Thermal Class': 'B (130 C)'}",Can,50,12,13.85,13.85,https://arandee.co.nz/wp-content/uploads/2022/11/Sprayon_Insultating_Varnish_Clear.jpg,3-5 business days,R5-02,FALSE,replit-import;replit-id-74;show-price-true;remote-image-source;electrical-insulation,OK
RPL-0075,EPOEL400-C12100GM,Electrolock,EPOEL400-C12100GM,"Electrolock EL400/C12 Two-Component Epoxy Resin, 100 g",Electrical Insulation,Electrical Insulation,"Electrolock EL400/C12 is a two-component epoxy resin system for potting and encapsulating electrical components. Provides superior electrical insulation, chemical resistance, and mechanical strength. 100 g kit includes resin and hardener.","{'Cure': 'Room Temperature', 'Type': 'Two-Component Epoxy', 'Weight': '100 g', 'Mix Ratio': 'Per Data Sheet', 'Application': 'Potting / Encapsulation'}",Kit,30,8,23.09,23.09,https://image.made-in-china.com/202f0j00mcqbGiHnlukS/Professional-Customized-Two-Component-Epoxy-Resin-Potting-Compound-for-Electrical-Waterproof-Function.webp,3-5 business days,R5-03,FALSE,replit-import;replit-id-75;show-price-true;remote-image-source;electrical-insulation,OK
RPL-0076,BANDLG14H1-4,Lectromat,BANDLG14H1-4,"Lectromat B-Stage Fiberglass Surge Rope, 1/4 in x 100 ft, White",Electrical Insulation,Electrical Insulation,"Lectromat BANDLG14H1/4 B-Stage Fiberglass Surge Rope for coil bracing and blocking in electrical motor windings. 1/4 inch diameter, 100 ft length in white. B-stage resin impregnated for heat-cured bonding after winding. Priced per foot.","{'Type': 'B-Stage Fiberglass', 'Color': 'White', 'Length': '100 ft', 'Diameter': '1/4 in', 'Application': 'Surge Rope / Coil Bracing'}",ft,500,125,2.63,2.63,https://www.electro-wind.com/web-files/Web-pics/Fibertek/surge-rope.jpg,3-5 business days,R5-04,FALSE,replit-import;replit-id-76;show-price-true;remote-image-source;electrical-insulation,OK
RPL-0077,BANDLG14H3-8,Lectromat,BANDLG14H3-8,"Lectromat B-Stage Fiberglass Surge Rope, 3/8 in x 100 ft Coil, White",Electrical Insulation,Electrical Insulation,Lectromat BANDLG14H3/8 B-Stage Fiberglass Surge Rope for coil bracing and blocking in electrical motor windings. 3/8 inch diameter x 100-foot coil in white. B-stage resin impregnated for heat-cured bonding. Essential for surge protection in high-voltage windings.,"{'Type': 'B-Stage Fiberglass', 'Color': 'White', 'Length': '100 ft', 'Diameter': '3/8 in', 'Application': 'Surge Rope / Coil Bracing'}",Coil,20,5,317.82,317.82,https://www.electro-wind.com/web-files/Web-pics/Fibertek/surge-rope.jpg,3-5 business days,R5-05,FALSE,replit-import;replit-id-77;show-price-true;remote-image-source;electrical-insulation,OK
RPL-0078,BAND768313-8,Von Roll,BAND768313-8,"Von Roll 76831 Permafil Polyester Surge Rope, 3/8 in x 50 ft Spool",Electrical Insulation,Electrical Insulation,Von Roll 76831 Permafil polyester surge rope on a 50-foot spool for end-turn blocking and bracing in electrical motor and generator windings. 3/8 inch diameter provides excellent mechanical support and vibration resistance.,"{'Type': 'Surge Rope', 'Length': '50 ft', 'Diameter': '3/8 in', 'Material': 'Polyester', 'Application': 'End-Turn Blocking / Bracing'}",Spool,15,4,263.00,263.00,https://www.electro-wind.com/web-files/Web-pics/Fibertek/surge-rope.jpg,3-5 business days,R5-06,FALSE,replit-import;replit-id-78;show-price-true;remote-image-source;electrical-insulation,OK
RPL-0080,MYLAR1401,DuPont,MYLAR1401,"DuPont Mylar MO Polyester Film Sheet, 14 Mil x 24 x 36 in",Electrical Insulation,Electrical Insulation,"DuPont Mylar MO biaxially oriented polyester film sheet provides excellent dielectric strength and mechanical properties for slot liner and phase insulation in electrical motors. 14 mil thickness, 24 x 36 inch sheet size.","{'Width': '24 in', 'Length': '36 in', 'Material': 'Biaxially Oriented Polyester', 'Thickness': '14 Mil', 'Dielectric Strength': '5500 V/mil'}",Sheet,100,25,6.00,6.00,https://s.alicdn.com/@sc04/kf/Hb8caa3dba40c4ba3ab96387fc4fe52e8P.jpg_300x300.jpg,3-5 business days,R5-07,FALSE,replit-import;replit-id-80;show-price-true;remote-image-source;electrical-insulation,OK
RPL-0081,NMX4141502,DuPont,NMX4141502,"DuPont Nomex 414 Paper Sheet, 15 Mil x 36 x 36 in",Electrical Insulation,Electrical Insulation,"DuPont Nomex 414 is a composite NMN insulation paper combining Nomex Type 410 paper laminated with Mylar polyester film. Ideal for slot liner insulation in motors and generators. 15 mil thickness, 36 x 36 inch sheet.","{'Type': 'Composite NMN', 'Width': '36 in', 'Length': '36 in', 'Thickness': '15 Mil', 'Thermal Class': 'F (155 C)'}",Sheet,75,19,39.00,39.00,https://www.elangmas.com/images/product/zoom/RF20160132_-_DUPONT_Nomex_PAPER_TYPE_410_DATA_SHEET.png,3-5 business days,R5-08,FALSE,replit-import;replit-id-81;show-price-true;remote-image-source;electrical-insulation,OK
RPL-0083,MYLAR7685103,Von Roll,MYLAR7685103,"Von Roll Acuflex 76851 Heat Shrink PET Tape, 2 Mil x 3/4 in x 120 yd",Specialty Tapes & Films,Specialty Tape,"Von Roll Acuflex Mylar 76851 is a heat-shrink biaxially oriented PET flexible tape roll. Provides phase-to-phase and turn insulation in motor windings. 2 mil thickness, 3/4 inch width, 120-yard roll.","{'Width': '3/4 in', 'Length': '120 yd', 'Material': 'Heat Shrink PET', 'Thickness': '2 Mil', 'Application': 'Motor Winding Insulation'}",Roll,60,15,22.63,22.63,https://www.electro-wind.com/web-files/Web-pics/3M/3m56.jpg,3-5 business days,R5-09,FALSE,replit-import;replit-id-83;show-price-true;remote-image-source;specialty-tapes-and-films,OK
RPL-0084,91146458125625,DuPont,91146458125625,".005 in WC Mylar Tape, 0.812 in x 350 ft",Specialty Tapes & Films,Specialty Tape,"DuPont WC Mylar polyester film tape, 0.005 inch thickness, 0.812 inch wide x 350 ft long. Used for slot liner, phase separator, and turn insulation in electrical motor windings. Excellent dielectric properties.","{'Width': '0.812 in', 'Length': '350 ft', 'Material': 'WC Polyester Film', 'Thickness': '0.005 in', 'Application': 'Motor Winding Insulation'}",Roll,80,20,15.10,15.10,https://www.electro-wind.com/web-files/Web-pics/3M/3m56.jpg,3-5 business days,R5-10,FALSE,replit-import;replit-id-84;show-price-true;remote-image-source;specialty-tapes-and-films,OK
RPL-0085,9114645531625,DuPont,9114645531625,".005 in WC Mylar Tape, 0.531 in x 350 ft",Specialty Tapes & Films,Specialty Tape,"DuPont WC Mylar polyester film tape, 0.005 inch thickness, 0.531 inch wide x 350 ft long. Used for slot liner, phase separator, and turn insulation in electrical motor windings.","{'Width': '0.531 in', 'Length': '350 ft', 'Material': 'WC Polyester Film', 'Thickness': '0.005 in', 'Application': 'Motor Winding Insulation'}",Roll,80,20,14.20,14.20,https://www.electro-wind.com/web-files/Web-pics/3M/3m56.jpg,3-5 business days,R6-01,FALSE,replit-import;replit-id-85;show-price-true;remote-image-source;specialty-tapes-and-films,OK
